global_step,epoch,epochs,step,iters,loss,logits_loss,aux_loss,lr,epoch_eta_min
363,1,2,36300,39695,2.0106,2.0106,0.0,0.00030514,7.0
364,1,2,36400,39695,2.0124,2.0124,0.0,0.00030425,7.0
365,1,2,36500,39695,2.2921,2.2921,0.0,0.00030337,7.0
366,1,2,36600,39695,2.1726,2.1726,0.0,0.00030249,7.0
367,1,2,36700,39695,1.87,1.87,0.0,0.0003016,7.0
368,1,2,36800,39695,2.0382,2.0382,0.0,0.00030072,6.0
369,1,2,36900,39695,1.9113,1.9113,0.0,0.00029983,6.0
370,1,2,37000,39695,2.0822,2.0822,0.0,0.00029895,6.0
371,1,2,37100,39695,2.1456,2.1456,0.0,0.00029806,6.0
372,1,2,37200,39695,1.9699,1.9699,0.0,0.00029718,5.0
373,1,2,37300,39695,2.254,2.254,0.0,0.00029629,5.0
374,1,2,37400,39695,2.0952,2.0952,0.0,0.00029541,5.0
375,1,2,37500,39695,2.2559,2.2559,0.0,0.00029452,5.0
376,1,2,37600,39695,1.9222,1.9222,0.0,0.00029363,4.0
377,1,2,37700,39695,2.0528,2.0528,0.0,0.00029274,4.0
378,1,2,37800,39695,2.0526,2.0526,0.0,0.00029186,4.0
379,1,2,37900,39695,2.041,2.041,0.0,0.00029097,4.0
380,1,2,38000,39695,2.0722,2.0722,0.0,0.00029008,3.0
381,1,2,38100,39695,2.2524,2.2524,0.0,0.00028919,3.0
382,1,2,38200,39695,2.075,2.075,0.0,0.0002883,3.0
383,1,2,38300,39695,2.0225,2.0225,0.0,0.00028741,3.0
